newsId,url
1,http://new.qq.com/cmsn/20190522/20190522003669.html
2,https://new.qq.com/omn/20180827/20180827A0TXHJ00.html
3,https://new.qq.com/omn/20180830/20180830A071M200.html
4,https://new.qq.com/omn/20180830/20180830A1JXZJ00.html
5,https://new.qq.com/omn/20180905/20180905A14W7Q00.html
6,https://new.qq.com/omn/20180911/20180911A0IHYQ00.html
7,https://new.qq.com/omn/20180911/20180911A1O4Y800.html
8,https://new.qq.com/omn/20180914/20180914A18MVI00.html
9,https://new.qq.com/omn/20180917/20180917A0BNG100.html
10,https://new.qq.com/omn/20180918/20180918A0FWIF00.html
11,https://new.qq.com/omn/20180920/20180920A0CILY00.html
12,https://new.qq.com/omn/20180922/20180922A0Y6NE00.html
13,https://new.qq.com/omn/20190411/20190411A0HFVC00.html
14,https://new.qq.com/omn/20190820/20190820A08VNX00.html
15,https://new.qq.com/omn/20190916/20190916A05T2G00.html
16,https://new.qq.com/omn/20190929/20190929A08BFJ00.html
17,https://new.qq.com/omn/20191006/20191006A0DFUR00.html
18,https://new.qq.com/omn/20200109/20200109A08YV500.html
19,https://new.qq.com/omn/20200204/20200204A0JY5Z00.html
20,https://new.qq.com/omn/20200219/20200219A02RWA00.html
21,https://new.qq.com/omn/20200324/20200324A0QXG000.html
22,https://new.qq.com/omn/20200329/20200329A0KXZR00.html
23,https://new.qq.com/omn/20200403/20200403A0JZNL00.html
24,https://new.qq.com/omn/20200508/20200508A0RYSY00.html
25,https://new.qq.com/omn/20200520/20200520A0HSQN00.html
26,https://new.qq.com/omn/20200705/20200705A0JR2P00.html
27,https://new.qq.com/omn/20200706/20200706A0VDMK00.html
28,https://new.qq.com/omn/20200708/20200708A06B4R00.html
29,https://new.qq.com/omn/20200714/20200714A0CTSM00.html
30,https://new.qq.com/omn/20200720/20200720A07GYA00.html
31,https://new.qq.com/omn/20200813/20200813A0VAVN00.html
32,https://new.qq.com/omn/20200921/20200921A0GPIW00.html
34,https://new.qq.com/omn/20200926/20200926A0CTXR00.html
36,https://new.qq.com/omn/20201005/20201005A06MQQ00.html
38,https://new.qq.com/omn/20201007/20201007A0DCWB00.html
39,https://new.qq.com/omn/20201030/20201030A0IUNZ00.html
40,https://new.qq.com/omn/20201105/20201105A0GMJ400.html
41,https://new.qq.com/omn/20201106/20201106A05GNK00.html
42,https://new.qq.com/omn/20201108/20201108A09K5X00.html
